DALY,Total Cost
53148.39751,13876054.61
53041.82361,28864563.86
38452.93849,16000239.37
42039.50041,16109659.47
37679.92743,18378699.92
48102.32939,20520701.75
45716.6353,15033901.47
43648.33534,24353306.33
54460.10304,15348694.96
40179.12258,18412659.53
42272.01937,20247704.65
24442.29094,11323461.66
40602.83693,15590136.9
28113.8522,10786097.51
32713.78202,15336783.29
31165.19025,19920173.21
43067.42095,19948564.29
44759.08554,14897579.27
46519.48591,23399803.65
48133.39323,22148086.27
36007.72625,11276595.59
40934.21113,14804477.52
42148.89163,19464270.28
39361.28796,16440496.04
44966.76035,12720026.22
38986.69902,12679716.36
52581.99205,18999376.46
43789.82589,14563089.64
56207.99105,17354676.39
35033.3544,15953956.54
55454.18654,24285564.85
56806.79049,24620260.22
63211.81788,23496801.95
37147.67172,17979294.39
26051.43785,12438539.9
36352.56133,26277204.9
54335.0873,13822260.97
49050.8456,23887745.25
49357.69611,28209816.47
34268.84084,12882221.03
39491.1023,13844292.57
34842.37839,19710802.52
31472.23863,16298569.14
40383.00171,13853817.65
33945.78861,14096044.23
48646.67583,22983056.4
37703.12598,21811844.74
27259.09348,13577122.76
27386.1963,12786164.22
32682.14181,15928324.88
44234.50642,23593385.25
44901.56975,19426926.18
56716.80646,22570827.2
32407.68529,21061656.96
31716.04559,13074974.34
39243.88393,17103925.09
82143.5222,28789193.51
38512.17251,13728069.56
31902.29436,19497851.06
34491.326,17286307.9
26971.34163,15880283.92
33772.18092,20996972.49
32970.67332,15104407.3
50429.4474,24764582.8
36001.03671,17832677.08
35985.21931,12119752.65
45989.5892,13585701.17
46106.70557,16506068.9
62185.72176,24492365.48
36724.10631,23941321.28
47473.87996,18808188.06
36273.4305,17310666.72
168755.0167,29619195.24
31833.76484,11403561.59
34730.73547,17405589.04
43731.39482,22610163.31
42499.21223,15661741.78
29503.51299,11305946.86
62268.41762,29188671.64
23839.22464,15320463.51
37581.36567,14028078.51
51137.05461,28154427.19
39145.3245,16632743.17
32511.17486,18257481.23
35503.21332,10271744.17
47589.96299,19126486.68
46527.23772,19942317.43
34165.95345,18268868.77
34907.08198,10204329.24
44910.91702,24231366.11
34553.17091,19564911.52
35355.85883,13147499.59
35921.50076,15725112.7
43874.09377,16515164.53
29902.04039,14351148.46
44973.11829,17108095.22
30907.81852,12157990.27
46413.27252,18520621.65
35412.40377,14738637.55
31750.52768,16030423.22
39471.74423,18709459.48
40955.33644,20820131.8
51229.98308,18844548.91
30417.88467,14581242.76
44450.25035,22995451.11
42033.61214,13124873.11
28672.68581,12061472.88
49714.08128,23379777.17
39952.38043,14234734.13
38818.92371,10857433.37
45409.39518,20584908.7
33572.30719,15847011.04
57041.77672,19758916.29
41803.20556,13350306.4
38264.84356,22525599.66
32959.17809,16411923.92
31710.94799,12988920.92
38740.23466,16860121.35
32906.85686,23852054.74
30835.30823,21071646.13
45275.72189,17083708
39772.18712,18255069.47
33017.23122,16902827.28
33585.2715,16355034.2
35707.136,14073240.65
30414.3007,15146537.53
40470.16526,11579608.49
35016.08683,15855236.91
